,S17-ER-1000,Mbase (1); Hyper-V (1) -- Kibana (1) -- Yarcdata (1) -- CDMI (1) -- Kepler (1)
,S17-ER-1001,Azure Queues (1) -- Sentry (1) -- Tableau (1) -- Berkeley DB (1) -- ODE (1) -- OpenStack Keystone (1)
,S17-ER-1002,Crunch (1) -- point-to-point (1) -- LinkedIn (1) -- Pig (1) -- Hive (1) -- IPython (1)
,- , -
,S17-IO-3000,SQL Server (1) -- Nimbus (1) -- Taverna (1) -- Chef (1) -- Tyrant (1) -- FITS (1)
,S17-IO-3001,Medusa-GPU (1) -- Jupyter (1) -- OpenJPA (1) -- Google and other public Clouds (1) -- Airavata (1)
,S17-IO-3002,TensorFlow (1) -- Azure Stream Analytics (1) -- Ambari (1) -- Galaxy (1) -- Bioconductor (1)
,S17-IO-3003,QPid (1) -- Stomp (1) -- Apatar (1) -- Google FlumeJava (1) -- Sqrrl (1)
,S17-IO-3004,appfog (1) -- Dream:Lab (1) -- MySQL (1) -- ZHT (1) -- RYA (1)
,S17-IO-3005,Amazon Kinesis (1) -- Inca (1) -- Gora (general object from NoSQL) (1) -- RabbitMQ (1) -- JClouds (1)
,S17-IO-3006,Tez (1) -- Ubuntu MaaS (1) -- Llama (1) -- GraphChi (1) -- Lumberyard (1)
,S17-IO-3007,Google Cloud SQL (1) -- Ganglia (1) -- NaradaBrokering (1) -- Event Hubs (1) -- Kite (1)
,S17-IO-3008,CINET (1) -- Linux-Vserver (1) -- Networking: Google Cloud DNS (1) -- Talend (1) -- Haystack (1)
,S17-IO-3009,Flink Streaming (1) -- Solr (1) -- JGroups (1) -- Azure SQL (1) -- HDF (1)
,S17-IO-3010,Azure (1) -- Couchbase (1) -- Public Cloud: Azure Table (1) -- Sawzall (1) -- Phoenix (1)
,S17-IO-3011,ZeroMQ (1) -- Blueprints (1) -- Trident (1) -- e-Science Central (1) -- Winery (1)
,S17-IO-3012,MRQL (1) -- AWS OpsWorks (1) -- GPFS (1) -- Hazelcast (1) -- Google Bigtable (1)
,S17-IO-3013,Google Prediction API and Translation API (1) -- LMDB (key value) (1) -- QEMU (1) -- BioKepler (1) -- Google Cloud Dataflow (1)
,S17-IO-3014,Riak (1) -- Ehcache (1) -- Xen (1) -- Zookeeper (1) -- SSH (1)
,S17-IO-3015,Lucene (1) -- pbdR (1) -- Protobuf (1) -- Galera Cluster (1) -- Cassandra (1)
,S17-IO-3016,DC.js (1) -- Aerobatic (1) -- CoreOS (1) -- AMQP (1) -- Argo BEAST HPX-5 BEAST PULSAR (1)
,S17-IO-3017,Facebook Tao (1) -- MongoDB (1) -- Amazon (1) -- Kafka (1) -- Amazon Dynamo (1)
,S17-IO-3018,PostgreSQL (1) -- Impala (1) -- Hadoop (1) -- Floe (1) -- VirtualBox (1)
,S17-IO-3019,Stackato (1) -- Parasol (1) -- vSphere and vCloud (1) -- Totem (1) -- Libvirt (1)
,S17-IO-3020,AppScale (1) -- CloudControl (1) -- Google Fusion Tables (1) -- Yarn (1) -- TinkerPop (1)
,S17-IO-3021,CUBRID (1) -- MR-MPI (1) -- NWB (1) -- Cascading (1) -- BitTorrent (1)
,S17-IO-3022,Juju (1) -- Netty (1) -- FUSE (1) -- Google Chubby (1) -- Mesos (1)
,S17-IO-3023,H-Store (1) -- Kyoto Cabinet (1) -- Globus Online (GridFTP) (1) -- Sahara (1) -- DataFu (1)
,S17-IO-3024,NiFi (NSA) (1) -- LXC (1) -- Helix (1) -- IBM dashDB (1) -- Puppet (1)
,S17-IO-3025,Voldemort (1) -- Buildstep (1) -- OCCI (1) -- SAP HANA (1) -- HPX-5 (1)
,- , -
,S17-IR-2000,OPeNDAP (1) -- CloudMesh (1) -- Rocks (1) -- Swift (1) -- Infinispan (1)
,S17-IR-2001,Celery (1) -- GraphBuilder(Intel) (1) -- HTCondor (1) -- HUBzero (1) -- Gitreceive (1)
,S17-IR-2002,Stratosphere (Apache Flink) (1) -- ActiveBPEL (1) -- Google Dremel (1) -- ImageJ (1) -- IBM Cloudant (1)
,S17-IR-2003,DAAL(Intel) (1) -- Hibernate (1) -- PyBrain (1) -- CouchDB (1) -- OpenStack (1)
,S17-IR-2004,PLASMA MAGMA (1) -- Samza (1) -- Azure Blob (1) -- OpenVZ (1) -- Jelastic (1)
,S17-IR-2005,N1QL (1) -- Google App Engine (1) -- SciDB (1) -- Triana (1) -- OpenStack Ironic (1)
,S17-IR-2006,Cinder (1) -- Spark (1) -- R (1) -- dotCloud (1) -- Pivotal Gemfire (1)
,S17-IR-2007,DevOpSlang (1) -- Google BigQuery (1) -- OSGi (1) -- OpenPBS (1) -- Lambda (1)
,S17-IR-2008,Kestrel (1) -- Scalapack (1) -- HadoopDB (1) -- OODT (1) -- Thrift (1)
,S17-IR-2009,Megastore and Spanner (1) -- Pivotal GPLOAD/GPFDIST (1) -- Facebook Corona (1) -- Apache Derby (1) -- SQLite (1)
,S17-IR-2010,MapGraph (1) -- three.js (1) -- Amazon Redshift (1) -- (Dryad) (1) -- Disco (1)
,S17-IR-2011,DL4j (1) -- Solandra (1) -- CloudStack (1) -- Logstash (1) -- Ansible (1)
,S17-IR-2012,GraphLab (1) -- GFFS (1) -- Lustre (1) -- Reef (1) -- Harp (1)
,S17-IR-2013,Flume (1) -- OpenCV (1) -- ORC (1) -- VMware ESXi (1) -- Hama (1)
,S17-IR-2014,Sqoop (1) -- Pivotal (1) -- Google MillWheel (1) -- iRODS (1) -- VoltDB (1)
,S17-IR-2015,Facebook Tupperware (1) -- Neo4J (1) -- Databus (1) -- KeystoneML (1) -- Rasdaman (1)
,S17-IR-2016,ActiveMQ (1) -- OpenTOSCA (1) -- Avro (1) -- SaltStack (1) -- Whirr (1)
,S17-IR-2017,Eduroam (1) -- Potree (1) -- Pivotal HD/Hawq (1) -- Docker Compose (1) -- OpenNebula (1)
,S17-IR-2018,CompLearn (1) -- OpenID (1) -- Cisco Intelligent Automation for Cloud (1) -- Pentaho (1) -- scikit-learn (1)
,S17-IR-2019,Oracle (1) -- CNTK (1) -- Twister (1) -- NetCDF (1) -- Oozie (1)
,S17-IR-2020,Summingbird (1) -- Google F1 (1) -- Torque (1) -- DataTurbine (1) -- Scalding (1)
